Category,Product,Cluster,Total_Price_Bin,Price_Bin,Quantity_Bin
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Soft Drinks,Fanta,1,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Alcoholic Beverages,Erdinger Weißbier,3,High,Economy,Very High
Soft Drinks,Coca-Cola,1,High,Economy,Very High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Evian,2,Low,Economy,Low
Water,Volvic Touch,2,Low,Economy,Very Low
Soft Drinks,Sprite,1,High,Economy,High
Soft Drinks,Schwip Schwap,1,Very High,Economy,Very High
Alcoholic Beverages,Kölsch,3,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Juices,Hohes C Orange,0,High,Economy,Very High
Soft Drinks,Pepsi,1,High,Economy,Very High
Soft Drinks,Fanta,1,Low,Economy,Medium
Soft Drinks,Sprite,1,Very High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Vio Wasser,2,Medium,Economy,High
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Water,Volvic Touch,2,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Jever,3,High,Economy,High
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Soft Drinks,Sprite,1,Very High,Economy,Very High
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Soft Drinks,Mountain Dew,1,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Water,Apollinaris,2,Low,Economy,Medium
Water,Evian,2,Medium,Economy,High
Water,Apollinaris,2,High,Economy,Very High
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Water,Volvic Touch,2,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Evian,2,Medium,Economy,High
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Evian,2,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Water,Gerolsteiner,2,Very Low,Economy,Low
Water,Evian,2,Low,Economy,Medium
Soft Drinks,Fanta,1,Medium,Economy,Medium
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Soft Drinks,Mountain Dew,1,Very High,Economy,Very High
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Fanta,1,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Juices,Granini Apple,0,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,San Pellegrino,2,Medium,Economy,High
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Water,Gerolsteiner,2,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Coca-Cola,1,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Alcoholic Beverages,Jever,3,High,Economy,High
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,High,Economy,Very High
Juices,Granini Apple,0,High,Economy,High
Juices,Granini Apple,0,Medium,Economy,Medium
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,High,Economy,High
Water,Gerolsteiner,2,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,High
Alcoholic Beverages,Beck's,3,High,Economy,Very High
Soft Drinks,Pepsi,1,Very High,Economy,Very High
Water,Vittel,2,Medium,Economy,High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Gerolsteiner,2,Medium,Economy,High
Water,Selters,2,Low,Economy,Medium
Alcoholic Beverages,Jever,3,High,Economy,Very High
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Low
Water,Gerolsteiner,2,Very Low,Economy,Low
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Water,Volvic Touch,2,Medium,Economy,High
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,Apollinaris,2,High,Economy,Very High
Soft Drinks,Sprite,1,High,Economy,High
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Alcoholic Beverages,Augustiner,3,Medium,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Medium,Economy,High
Water,Apollinaris,2,High,Economy,Very High
Water,Volvic Touch,2,Very High,Economy,Very High
Soft Drinks,Mezzo Mix,1,High,Economy,Very High
Water,Volvic Touch,2,Medium,Economy,High
Water,Evian,2,Low,Economy,Low
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Water,Evian,2,Very High,Economy,Very High
Water,Volvic Touch,2,Medium,Economy,Medium
Soft Drinks,Pepsi,1,Very High,Economy,Very High
Juices,Granini Apple,0,Low,Economy,Medium
Water,Evian,2,Medium,Economy,Medium
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Medium
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Water,Volvic Touch,2,Medium,Economy,Medium
Alcoholic Beverages,Augustiner,3,Low,Economy,Medium
Water,Apollinaris,2,Medium,Economy,High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Medium,Economy,High
Water,Evian,2,High,Economy,Very High
Water,Gerolsteiner,2,Low,Economy,Medium
Water,San Pellegrino,2,High,Economy,Very High
Water,Evian,2,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Medium,Economy,High
Water,Evian,2,High,Economy,Very High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,Evian,2,Medium,Economy,Medium
Alcoholic Beverages,Warsteiner,3,High,Economy,Very High
Juices,Granini Apple,0,Low,Economy,Low
Water,Volvic Touch,2,Medium,Economy,Medium
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Soft Drinks,Coca-Cola,1,Low,Economy,Low
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Water,Gerolsteiner,2,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Low
Water,Gerolsteiner,2,Low,Economy,Medium
Alcoholic Beverages,Kölsch,3,Low,Economy,High
Soft Drinks,Fanta,1,Low,Economy,Medium
Water,San Pellegrino,2,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Water,Evian,2,Low,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Medium,Economy,Medium
Soft Drinks,Fanta,1,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Medium,Economy,High
Water,Evian,2,Low,Economy,Medium
Water,Volvic,2,Very High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Very High,Economy,Very High
Water,Apollinaris,2,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Low,Economy,Medium
Alcoholic Beverages,Warsteiner,3,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Soft Drinks,Sprite,1,Medium,Economy,High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Evian,2,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,High,Economy,Very High
Water,Evian,2,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Water,San Pellegrino,2,High,Economy,High
Soft Drinks,Coca-Cola,1,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,High,Economy,Very High
Soft Drinks,Mountain Dew,1,Low,Economy,Low
Water,Vittel,2,High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Water,Selters,2,Very High,Economy,Very High
Water,San Pellegrino,2,Low,Economy,Medium
Water,Volvic,2,High,Economy,Very High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Medium,Economy,High
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Water,Evian,2,Very High,Economy,Very High
Soft Drinks,Pepsi,1,High,Economy,Very High
Alcoholic Beverages,Warsteiner,3,Low,Economy,Low
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Water,Evian,2,Medium,Economy,Medium
Soft Drinks,Schwip Schwap,1,Very High,Economy,Very High
Water,Apollinaris,2,Low,Economy,Low
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,High,Economy,High
Juices,Granini Apple,0,High,Economy,Very High
Soft Drinks,Mountain Dew,1,High,Economy,High
Water,San Pellegrino,2,Very High,Economy,Very High
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Volvic Touch,2,Medium,Economy,High
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Low
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Water,Gerolsteiner,2,High,Economy,Very High
Water,Volvic Touch,2,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Soft Drinks,Mountain Dew,1,Very Low,Economy,Very Low
Water,Evian,2,Medium,Economy,Medium
Water,Gerolsteiner,2,Low,Economy,Medium
Soft Drinks,Fanta,1,Low,Economy,Medium
Alcoholic Beverages,Kölsch,3,Very Low,Economy,Low
Water,Volvic Touch,2,High,Economy,Very High
Water,Apollinaris,2,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Low,Economy,Low
Water,Volvic,2,Very High,Economy,Very High
Water,Vio Wasser,2,High,Economy,Very High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,High
Water,Evian,2,Low,Economy,Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Medium,Economy,High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Medium,Economy,High
Soft Drinks,Mountain Dew,1,Low,Economy,Low
Alcoholic Beverages,Kölsch,3,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Water,Apollinaris,2,Low,Economy,High
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Soft Drinks,Pepsi,1,High,Economy,Very High
Water,Gerolsteiner,2,Very High,Economy,Very High
Alcoholic Beverages,Erdinger Weißbier,3,High,Economy,Very High
Soft Drinks,Fanta,1,Medium,Economy,Medium
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Water,Evian,2,Medium,Economy,High
Alcoholic Beverages,Warsteiner,3,Low,Economy,Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Sprite,1,High,Economy,High
Water,Volvic Touch,2,Medium,Economy,Medium
Water,Volvic Touch,2,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Water,Volvic Touch,2,Low,Economy,Medium
Water,Evian,2,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,High,Economy,Very High
Water,Volvic Touch,2,Medium,Economy,High
Water,Vio Wasser,2,High,Economy,High
Water,Evian,2,Low,Economy,Low
Soft Drinks,Fanta,1,Low,Economy,Low
Water,Evian,2,Medium,Economy,High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Water,Apollinaris,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Low
Water,Volvic Touch,2,Medium,Economy,High
Soft Drinks,Sprite,1,Very High,Economy,Very High
Alcoholic Beverages,Kölsch,3,Low,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,High,Economy,High
Alcoholic Beverages,Augustiner,3,Medium,Economy,High
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Fanta,1,Medium,Economy,High
Soft Drinks,Sprite,1,High,Economy,Very High
Water,Gerolsteiner,2,Medium,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Gerolsteiner,2,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Soft Drinks,Coca-Cola,1,Medium,Economy,Medium
Water,San Pellegrino,2,Medium,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Apollinaris,2,High,Economy,Very High
Alcoholic Beverages,Beck's,3,Very Low,Economy,Low
Soft Drinks,Fanta,1,Low,Economy,Low
Water,Gerolsteiner,2,Medium,Economy,High
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Juices,Hohes C Orange,0,High,Economy,High
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Juices,Hohes C Orange,0,High,Economy,High
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Water,Evian,2,Low,Economy,Low
Soft Drinks,Mountain Dew,1,High,Economy,High
Soft Drinks,Fanta,1,High,Economy,Very High
Water,Evian,2,Low,Economy,Low
Water,Gerolsteiner,2,Medium,Economy,High
Water,Volvic Touch,2,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Water,Volvic Touch,2,High,Economy,Very High
Soft Drinks,Fanta,1,Medium,Economy,High
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Coca-Cola,1,Low,Economy,Low
Water,Apollinaris,2,High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Medium,Economy,High
Soft Drinks,Fanta,1,Medium,Economy,High
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Alcoholic Beverages,Jever,3,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Medium,Economy,Medium
Soft Drinks,Sprite,1,Medium,Economy,High
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Water,Evian,2,Low,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Low
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Water,Evian,2,Medium,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Medium,Economy,High
Water,Evian,2,Medium,Economy,Medium
Soft Drinks,Coca-Cola,1,Low,Economy,Low
Water,Evian,2,High,Economy,Very High
Water,Evian,2,Low,Economy,Low
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Juices,Granini Apple,0,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Very Low,Economy,Low
Soft Drinks,Fanta,1,Very High,Economy,Very High
Water,Evian,2,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Evian,2,High,Economy,Very High
Soft Drinks,Mountain Dew,1,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Water,Volvic Touch,2,Medium,Economy,High
Water,Gerolsteiner,2,Low,Economy,Medium
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Soft Drinks,Mountain Dew,1,Very Low,Economy,Low
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Medium
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Mountain Dew,1,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Juices,Granini Apple,0,Very High,Economy,Very High
Juices,Hohes C Orange,0,High,Economy,Very High
Alcoholic Beverages,Warsteiner,3,Very High,Economy,Very High
Water,Evian,2,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Medium
Water,Evian,2,Low,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Soft Drinks,Mezzo Mix,1,High,Economy,Very High
Water,Apollinaris,2,Low,Economy,Medium
Alcoholic Beverages,Krombacher,3,Very Low,Economy,Low
Alcoholic Beverages,Rotkäppchen Sekt,3,Very High,Luxury,Very High
Juices,Rauch Multivitamin,0,Very High,Luxury,Very High
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Low
Alcoholic Beverages,Riesling,3,Low,Luxury,Very Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,High
Alcoholic Beverages,Riesling,3,Very High,Luxury,Very High
Alcoholic Beverages,Riesling,3,Low,Luxury,Very Low
Alcoholic Beverages,Bacardi,3,Very High,Luxury,Very High
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,High
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,High
Alcoholic Beverages,Chardonnay,3,High,Luxury,Low
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Low
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Low
Alcoholic Beverages,Bacardi,3,Very High,Luxury,Low
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Very Low
Alcoholic Beverages,Riesling,3,Medium,Luxury,Very Low
Alcoholic Beverages,Rotkäppchen Sekt,3,Medium,Luxury,Very Low
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Low
Juices,Cranberry Juice,0,Medium,Luxury,Very Low
Juices,Rauch Multivitamin,0,Very High,Luxury,Very High
Alcoholic Beverages,Bacardi,3,Very High,Luxury,Very High
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Very Low
Alcoholic Beverages,Chardonnay,3,Very High,Luxury,Very High
Juices,Cranberry Juice,0,High,Luxury,Low
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Medium
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Very Low
Juices,Passion Fruit Juice,0,High,Luxury,Low
Alcoholic Beverages,Bacardi,3,High,Luxury,Very Low
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Very High
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,Medium
Alcoholic Beverages,Havana Club,3,Very High,Luxury,Medium
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Luxury,Very Low
Alcoholic Beverages,Havana Club,3,Very High,Luxury,Medium
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Medium
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,Very Low
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,Medium
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Low
Alcoholic Beverages,Sauvignon Blanc,3,Very High,Luxury,Very High
Alcoholic Beverages,Chardonnay,3,Very Low,Luxury,Very Low
Juices,Cranberry Juice,0,High,Luxury,Medium
Alcoholic Beverages,Havana Club,3,High,Luxury,Low
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,High
Alcoholic Beverages,Riesling,3,High,Luxury,Medium
Alcoholic Beverages,Chardonnay,3,High,Luxury,Low
Soft Drinks,Monster,1,Very High,Luxury,Very High
Alcoholic Beverages,Merlot,3,Very High,Luxury,Very High
Juices,Passion Fruit Juice,0,Very High,Luxury,Very High
Alcoholic Beverages,Chardonnay,3,Very High,Luxury,Very High
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Very High
Juices,Cranberry Juice,0,High,Luxury,Medium
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Very Low
Alcoholic Beverages,Chardonnay,3,High,Luxury,Low
Juices,Cranberry Juice,0,High,Luxury,Medium
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Luxury,Low
Alcoholic Beverages,Johnnie Walker,3,High,Luxury,Very Low
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Luxury,Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,Medium
Alcoholic Beverages,Havana Club,3,Very High,Luxury,Medium
Alcoholic Beverages,Riesling,3,Low,Luxury,Very Low
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Very High
Alcoholic Beverages,Riesling,3,Very High,Luxury,Very High
Juices,Rauch Multivitamin,0,Very High,Luxury,Very High
Alcoholic Beverages,Chardonnay,3,Very High,Luxury,Very High
Juices,Cranberry Juice,0,Very High,Luxury,Very High
Alcoholic Beverages,Riesling,3,Very High,Luxury,Very High
Juices,Cranberry Juice,0,Low,Luxury,Very Low
Alcoholic Beverages,Riesling,3,Very High,Luxury,Very High
Alcoholic Beverages,Riesling,3,High,Luxury,Medium
Soft Drinks,Red Bull,1,Very High,Luxury,Very High
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,High
Alcoholic Beverages,Johnnie Walker,3,High,Luxury,Very Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,High
Juices,Cranberry Juice,0,High,Luxury,Medium
Juices,Mango Juice,0,Very High,Luxury,Very High
Alcoholic Beverages,Merlot,3,Very High,Luxury,High
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,High
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Medium
Juices,Cranberry Juice,0,High,Luxury,Low
Juices,Cranberry Juice,0,Very High,Luxury,Very High
Alcoholic Beverages,Havana Club,3,Very High,Luxury,Medium
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Very High
Alcoholic Beverages,Chardonnay,3,High,Luxury,High
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,High
Juices,Cranberry Juice,0,High,Luxury,Low
Alcoholic Beverages,Tanqueray,3,Very High,Luxury,Low
Soft Drinks,Monster,1,Very High,Luxury,Very High
Alcoholic Beverages,Bacardi,3,Very High,Luxury,Medium
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Luxury,Medium
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,Medium
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Very Low
Alcoholic Beverages,Johnnie Walker,3,Very High,Luxury,Medium
Alcoholic Beverages,Chardonnay,3,Very High,Luxury,Very High
Soft Drinks,Monster,1,Very High,Luxury,Very High
Alcoholic Beverages,Chardonnay,3,Very High,Luxury,Very High
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,High
Alcoholic Beverages,Chardonnay,3,Medium,Luxury,Very Low
Alcoholic Beverages,Riesling,3,Very Low,Luxury,Very Low
Alcoholic Beverages,Jack Daniels,3,Very High,Luxury,High
Alcoholic Beverages,Riesling,3,High,Luxury,High
Juices,Cranberry Juice,0,High,Luxury,Medium
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Very Low
Juices,Cranberry Juice,0,Very Low,Luxury,Very Low
Soft Drinks,Monster,1,Very High,Luxury,Very High
Alcoholic Beverages,Moët & Chandon,3,Very High,Luxury,Low
Alcoholic Beverages,Chardonnay,3,High,Luxury,Low
Alcoholic Beverages,Veuve Clicquot,3,Very High,Luxury,Very Low
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Luxury,Very Low
Juices,Cranberry Juice,0,Low,Luxury,Very Low
